date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-07-07,19.63,19.65,19.41,19.3,104797.09,-0.27,-1.37,19.72,19.583,19.253,131776.73,125384.55,123284.28,0.88
2017-07-06,19.93,20.05,19.68,19.44,126944.99,-0.25,-1.25,19.702,19.57,19.193,128368.12,124789.26,120679.59,1.07
2017-07-05,19.69,19.95,19.93,19.5,105885.42,0.14,0.71,19.67,19.522,19.124,128081.85,125078.67,118543.95,0.89
2017-07-04,19.74,20.02,19.79,19.6,139452.84,0.0,0.0,19.61,19.472,19.007,141583.57,126071.52,115353.5,1.17
2017-07-03,19.29,19.85,19.79,19.2,181803.3,0.47,2.43,19.502,19.458,18.89,131653.2,129743.17,111958.02,1.53
2017-06-30,19.5,19.5,19.32,19.13,87754.07,-0.2,-1.02,19.446,19.425,18.806,118992.37,135804.82,105696.22,0.74
2017-06-29,19.56,19.74,19.52,19.43,125513.62,-0.11,-0.56,19.438,19.345,18.736,121210.39,132235.22,105744.97,1.06
2017-06-28,19.25,19.67,19.63,19.12,173394.02,0.38,1.97,19.374,19.242,18.718,122075.49,127326.7,102881.72,1.46
2017-06-27,19.5,19.52,19.25,19.13,89800.99,-0.26,-1.33,19.334,19.109,18.698,110559.48,121091.51,97857.87,0.76
2017-06-26,19.24,19.53,19.51,19.13,118499.13,0.23,1.19,19.414,19.062,18.704,127833.15,128700.62,97927.19,1.0
2017-06-23,19.09,19.29,19.28,18.71,98844.21,0.08,0.42,19.404,18.923,18.669,152617.28,121184.01,95319.6,0.83
2017-06-22,19.43,19.64,19.2,19.1,129839.09,-0.23,-1.18,19.252,18.815,18.658,143260.05,116569.91,94412.39,1.09
2017-06-21,19.6,19.6,19.43,19.18,115813.97,-0.22,-1.12,19.11,18.725,18.666,132577.92,112009.23,91247.78,0.97
2017-06-20,19.34,19.69,19.65,19.22,176169.34,0.19,0.98,18.884,18.541,18.676,131623.54,104635.48,90132.9,1.48
2017-06-19,18.64,19.5,19.46,18.64,242419.8,0.94,5.08,18.71,18.322,18.658,129568.08,94172.86,86060.28,2.04
2017-06-16,18.22,18.62,18.52,18.22,52058.07,0.03,0.16,18.442,18.187,18.654,89750.73,75587.62,78781.72,0.44
