,name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
0,三安光电,19.750,19.740,20.130,20.300,19.730,20.130,20.140,13574114,272570559.000,13,20.130,60,20.120,18,20.110,83,20.090,125,20.080,99,20.140,261,20.150,19,20.160,47,20.170,585,20.180,2017-06-29,13:21:17,600703
1,三安光电,19.750,19.740,20.120,20.300,19.730,20.120,20.140,13575714,272602764.000,57,20.120,18,20.110,83,20.090,125,20.080,149,20.070,99,20.140,261,20.150,19,20.160,47,20.170,585,20.180,2017-06-29,13:21:20,600703
2,三安光电,19.750,19.740,20.130,20.300,19.730,20.110,20.130,13583714,272763747.000,31,20.110,4,20.100,83,20.090,125,20.080,154,20.070,5,20.130,84,20.140,264,20.150,19,20.160,47,20.170,2017-06-29,13:21:26,600703
3,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.120,13589114,272872309.000,41,20.090,123,20.080,154,20.070,164,20.060,288,20.050,5,20.120,5,20.130,84,20.140,264,20.150,19,20.160,2017-06-29,13:21:32,600703
4,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.120,13590414,272898432.000,30,20.090,123,20.080,154,20.070,164,20.060,288,20.050,3,20.120,10,20.130,70,20.140,264,20.150,24,20.160,2017-06-29,13:21:38,600703
5,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.120,13590414,272898432.000,59,20.090,151,20.080,154,20.070,164,20.060,288,20.050,3,20.120,27,20.130,70,20.140,264,20.150,24,20.160,2017-06-29,13:21:47,600703
6,三安光电,19.750,19.740,20.120,20.300,19.730,20.120,20.130,13591014,272910504.000,1,20.120,2,20.110,1,20.100,61,20.090,156,20.080,42,20.130,70,20.140,264,20.150,24,20.160,47,20.170,2017-06-29,13:21:59,600703
7,三安光电,19.750,19.740,20.110,20.300,19.730,20.110,20.120,13591414,272918551.000,1,20.110,1,20.100,61,20.090,156,20.080,149,20.070,2,20.120,42,20.130,45,20.140,264,20.150,24,20.160,2017-06-29,13:22:02,600703
8,三安光电,19.750,19.740,20.110,20.300,19.730,20.110,20.120,13591514,272920562.000,10,20.110,1,20.100,61,20.090,156,20.080,149,20.070,16,20.120,44,20.130,45,20.140,264,20.150,24,20.160,2017-06-29,13:22:11,600703
9,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.110,13597914,273049181.000,16,20.090,171,20.080,149,20.070,144,20.060,288,20.050,13,20.110,19,20.120,44,20.130,45,20.140,264,20.150,2017-06-29,13:22:20,600703
10,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.110,13597914,273049181.000,17,20.090,171,20.080,149,20.070,135,20.060,288,20.050,13,20.110,19,20.120,44,20.130,45,20.140,264,20.150,2017-06-29,13:22:23,600703
11,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.110,13605314,273197820.000,45,20.090,137,20.080,149,20.070,135,20.060,288,20.050,1,20.110,14,20.120,44,20.130,45,20.140,264,20.150,2017-06-29,13:22:38,600703
12,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.100,13615414,273400779.000,34,20.090,133,20.080,149,20.070,135,20.060,278,20.050,50,20.100,1,20.110,14,20.120,44,20.130,45,20.140,2017-06-29,13:22:47,600703
13,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.100,13623814,273569529.000,63,20.090,133,20.080,149,20.070,136,20.060,278,20.050,60,20.100,1,20.110,16,20.120,44,20.130,45,20.140,2017-06-29,13:22:59,600703
14,三安光电,19.750,19.740,20.110,20.300,19.730,20.100,20.120,13636014,273814689.000,200,20.100,9,20.090,133,20.080,149,20.070,136,20.060,31,20.120,44,20.130,45,20.140,220,20.150,24,20.160,2017-06-29,13:23:08,600703
15,三安光电,19.750,19.740,20.100,20.300,19.730,20.110,20.120,13642114,273937299.000,8,20.110,139,20.100,118,20.090,153,20.080,149,20.070,31,20.120,44,20.130,45,20.140,220,20.150,24,20.160,2017-06-29,13:23:14,600703
16,三安光电,19.750,19.740,20.100,20.300,19.730,20.100,20.120,13652614,274148357.000,112,20.100,117,20.090,173,20.080,149,20.070,136,20.060,32,20.120,44,20.130,45,20.140,220,20.150,24,20.160,2017-06-29,13:23:20,600703
17,三安光电,19.750,19.740,20.090,20.300,19.730,20.090,20.120,13676214,274622601.000,7,20.090,198,20.080,149,20.070,136,20.060,278,20.050,32,20.120,44,20.130,45,20.140,220,20.150,24,20.160,2017-06-29,13:23:32,600703
18,三安光电,19.750,19.740,20.080,20.300,19.730,20.080,20.090,13680914,274717047.000,174,20.080,149,20.070,136,20.060,278,20.050,41,20.040,22,20.090,17,20.120,24,20.130,45,20.140,220,20.150,2017-06-29,13:23:38,600703
19,三安光电,19.750,19.740,20.080,20.300,19.730,20.080,20.090,13682314,274745160.000,161,20.080,149,20.070,136,20.060,278,20.050,41,20.040,21,20.090,25,20.120,24,20.130,45,20.140,220,20.150,2017-06-29,13:23:44,600703
20,三安光电,19.750,19.740,20.090,20.300,19.730,20.080,20.090,13690414,274907818.000,121,20.080,149,20.070,136,20.060,278,20.050,41,20.040,15,20.090,25,20.120,24,20.130,45,20.140,220,20.150,2017-06-29,13:23:53,600703
21,三安光电,19.750,19.740,20.080,20.300,19.730,20.080,20.090,13690514,274909826.000,120,20.080,149,20.070,136,20.060,278,20.050,41,20.040,15,20.090,25,20.120,24,20.130,45,20.140,220,20.150,2017-06-29,13:23:56,600703
22,三安光电,19.750,19.740,20.070,20.300,19.730,20.070,20.110,13707514,275251181.000,123,20.070,136,20.060,278,20.050,41,20.040,236,20.030,2,20.110,25,20.120,24,20.130,25,20.140,220,20.150,2017-06-29,13:24:05,600703
23,三安光电,19.750,19.740,20.070,20.300,19.730,20.070,20.110,13714714,275395711.000,67,20.070,136,20.060,278,20.050,41,20.040,236,20.030,2,20.110,25,20.120,24,20.130,55,20.140,220,20.150,2017-06-29,13:24:11,600703
24,三安光电,19.750,19.740,20.050,20.300,19.730,20.050,20.060,13746133,276025934.000,169,20.050,41,20.040,236,20.030,285,20.020,1983,20.010,41,20.060,10,20.080,3,20.110,25,20.120,24,20.130,2017-06-29,13:24:23,600703
25,三安光电,19.750,19.740,20.050,20.300,19.730,20.050,20.060,13746733,276037969.000,178,20.050,41,20.040,236,20.030,285,20.020,1983,20.010,36,20.060,10,20.080,3,20.110,25,20.120,24,20.130,2017-06-29,13:24:29,600703
26,三安光电,19.750,19.740,20.050,20.300,19.730,20.050,20.060,13747833,276060029.000,172,20.050,41,20.040,236,20.030,285,20.020,1983,20.010,31,20.060,10,20.080,13,20.110,25,20.120,24,20.130,2017-06-29,13:24:38,600703
27,三安光电,19.750,19.740,20.050,20.300,19.730,20.050,20.060,13751533,276134226.000,159,20.050,41,20.040,236,20.030,297,20.020,1993,20.010,19,20.060,10,20.080,2,20.100,12,20.110,25,20.120,2017-06-29,13:24:50,600703
28,三安光电,19.750,19.740,20.050,20.300,19.730,20.050,20.080,13765317,276410663.000,99,20.050,41,20.040,236,20.030,330,20.020,1994,20.010,10,20.080,5,20.100,12,20.110,26,20.120,24,20.130,2017-06-29,13:25:02,600703
29,三安光电,19.750,19.740,20.050,20.300,19.730,20.040,20.050,13776033,276625526.000,41,20.040,236,20.030,330,20.020,1994,20.010,1021,20.000,34,20.050,1,20.070,11,20.080,5,20.100,10,20.110,2017-06-29,13:25:08,600703
