,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603617,君禾股份,0.32,18.52,3.29,10.2,0.38,2391.35,16.42,,06-30
1,300673,佩蒂股份,0.23,,,3.43,,1361.1,,,06-28
2,603938,三孚股份,0.32,52.38,,6.5,,3570.79,53.63,,06-27
3,000511,*ST烯碳,-0.03,-4550.0,,-2.77,,-3089.17,-4676.71,,06-24
4,603595,东尼电子,0.23,155.56,,6.71,,1749.26,159.14,,06-22
5,300672,国科微,-0.32,-34.69,,-3.87,,-2692.27,-34.66,,06-20
6,603757,大元泵业,0.49,63.33,,9.22,,3100.86,67.03,,06-20
7,603316,诚邦股份,,,,,,1582.99,89.12,,06-16
8,603933,睿能科技,0.53,206.94,,10.07,,4088.93,207.44,,06-15
9,603331,百达精工,0.2,42.86,3.92,5.33,-0.12,1947.25,49.71,,06-15
10,603980,吉华集团,0.25,-73.85,5.1,4.9,0.22,10003.92,-73.83,,06-14
11,603326,我乐家居,-0.01,-80.0,,,,-175.69,-72.11,,06-14
12,300671,富满电子,0.11,,,3.02,,832.92,93.67,,06-14
13,300670,大烨智能,0.04,-15.92,,,,334.0,-15.84,,06-14
14,002885,京泉华,0.25,66.67,,4.27,,1519.97,73.41,,06-13
15,603801,志邦股份,0.17,51.07,,3.01,,2034.34,51.03,,06-12
16,603767,中马传动,,,,,,2251.32,2.94,,06-12
17,300669,沪宁股份,0.1,25.0,,2.68,,602.26,14.53,,06-09
18,300667,必创科技,0.06,-300.0,3.22,1.73,-0.46,281.23,-315.37,,06-05
19,300668,杰恩设计,0.33,26.92,4.47,7.64,-0.53,1037.34,25.34,,06-02
20,603335,迪生力,0.08,,2.13,4.02,0.11,1478.85,-1.64,,06-01
21,603200,上海洗霸,0.22,21.28,6.94,3.24,0.69,1222.53,21.28,,05-31
22,002881,美格智能,0.09,,,3.1,,718.62,57.71,,05-31
23,300665,飞鹿股份,,,,,,128.1,471.33,,05-25
24,603226,菲林格尔,0.12,20.0,5.02,2.3,-0.43,750.57,19.94,,05-24
25,300666,江丰电子,0.06,50.0,,3.26,,958.97,62.64,,05-23
26,603879,永悦科技,0.08,0.0,,3.32,,882.15,7.88,,05-23
27,002879,长缆科技,0.23,-8.0,,3.21,,2331.48,-8.27,,05-22
28,603197,保隆科技,0.51,30.62,,,,4518.35,30.61,,05-18
29,300663,科蓝软件,-0.21,-36.36,,,,-2057.98,-36.79,,05-17
30,300662,科锐国际,0.09,80.0,,,,1164.95,70.41,,05-17
31,603758,秦安股份,0.16,-15.79,,3.6,,6069.41,-13.67,,05-16
32,601878,浙商证券,0.09,,,2.72,,26392.13,33.2,,05-16
33,603269,海鸥股份,0.08,0.0,6.23,1.33,0.12,578.0,0.18,,05-16
34,603496,恒为科技,0.23,,5.89,25.49,,1761.89,10.8,,05-16
35,300653,正海生物,0.13,0.93,3.95,3.35,0.14,777.96,0.89,,05-15
36,300652,雷迪克,0.25,56.25,4.39,5.86,0.15,1649.39,58.76,,05-15
37,603286,日盈电子,,,,,,716.5,12.69,,05-15
38,601952,苏垦农发,0.17,21.43,3.37,5.23,0.2,13725.47,22.27,,05-12
39,002870,香山股份,0.25,38.89,,5.69,,2034.61,33.08,,05-12
40,002869,金溢科技,0.48,2.13,5.02,9.51,-1.37,4261.38,2.04,,05-12
41,300660,江苏雷利,,,,,,6067.51,21.42,,05-11
42,603180,金牌厨柜,0.2,122.22,5.47,3.58,-1.01,1008.32,114.53,,05-11
43,002871,伟隆股份,0.21,23.53,5.49,3.55,,1096.0,24.85,,05-10
